1, 0, 0, 0, 
1, 1, 2, 3, 
1, 3, 4, 7, 
1, 5, 0, 5, 
2, 13, 1, 13, 
1, 9, 19, 28, 
2, 23, 13, 299, 
1, 27, 9, 36, 
2, 31, 6, 186, 
1, 5, 35, 40, 
1, 10, 39, 49, 
2, 43, 6, 258, 
1, 10, 47, 57, 
2, 6, 51, 306, 
1, 5, 55, 60, 
1, 59, 9, 68, 
1, 13, 63, 76, 
2, 6, 67, 402, 
1, 5, 71, 76, 
2, 6, 75, 450, 
2, 79, 6, 474, 
1, 13, 83, 96, 
1, 9, 87, 96, 
1, 9, 91, 100, 
1, 5, 95, 100, 
1, 5, 99, 104, 
2, 13, 103, 1339, 
1, 6, 107, 113, 
1, 9, 111, 120, 
2, 6, 115, 690, 
1, 13, 119, 132, 
1, 123, 6, 129, 
1, 127, 5, 132, 
2, 10, 131, 1310, 
2, 135, 10, 1350, 
1, 13, 139, 152, 
1, 10, 143, 153, 
1, 2, 147, 149, 
1, 6, 151, 157, 
99, 2, 14, 0, 
0, -858993460, -858993460, -858993460, 
